Date,ANZ.AX,BHP.AX,WTC.AX
2019/8/2,24.140028,31.305689,31.712811
2019/8/5,23.723072,30.328903,29.732622
2019/8/6,23.210562,29.949484,26.817076
2019/8/7,23.392981,29.666946,26.926531
2019/8/8,23.288742,30.110941,26.608109
2019/8/9,23.453789,30.102863,27.324558
2019/8/12,23.592775,29.876831,27.543474
2019/8/13,23.462477,29.876831,27.812143
2019/8/14,23.479849,30.207809,28.240021
2019/8/15,22.78492,29.376329,26.866829
2019/8/16,22.923904,29.19873,26.568308
2019/8/19,23.210562,29.263313,27.145449
2019/8/20,23.175814,29.303673,27.563377
2019/8/21,22.906532,28.456049,30.608284
2019/8/22,23.088949,28.415682,32.727779
2019/8/23,23.141069,28.593283,33.085999
2019/8/26,22.819666,28.003979,33.135754
2019/8/27,22.915216,28.213873,34.329838
2019/8/28,22.793608,28.593283,36.319965
2019/8/29,22.863096,28.657864,36.06126
2019/8/30,23.227936,29.295605,36.747852
2019/9/2,23.201874,29.529709,36.668243
2019/9/3,23.175814,29.408621,37.255337
2019/9/4,23.088949,29.319818,37.225483
2019/9/5,23.349548,30.059025,37.623516
2019/9/6,23.514595,30.259029,37.921688
2019/9/9,23.627522,30.10903,38.220364
2019/9/10,23.65358,30.267363,35.572117
2019/9/11,23.853371,30.767372,34.765694
2019/9/12,23.966299,30.809042,35.094238
2019/9/13,24.192148,30.942381,34.6064
2019/9/16,23.974981,31.9174,34.019009
2019/9/17,24.105282,31.575731,34.646225
2019/9/18,24.053164,31.492393,35.014591
2019/9/19,24.174774,31.400724,35.641808
2019/9/20,24.244267,31.459057,35.960396
2019/9/23,24.261642,31.350721,36.63739
2019/9/24,24.565672,31.042383,34.845341
2019/9/25,24.669909,30.442369,33.849758
2019/9/26,24.669909,30.417368,34.138481
2019/9/27,24.913136,30.700708,34.924988
2019/9/30,24.774149,30.60071,34.576538
2019/10/1,24.748091,30.83404,34.88517
2019/10/2,24.365879,30.250694,33.9095
2019/10/3,23.714386,29.292343,33.103073
2019/10/4,23.60146,29.417343,33.351974
2019/10/7,23.714386,29.484013,34.705959
2019/10/8,23.818626,29.675688,34.735828
2019/10/9,23.531967,29.275677,34.78561
2019/10/10,23.610147,29.225672,34.078743
2019/10/11,23.879431,29.850689,34.068787
2019/10/14,24.035791,30.442369,34.068787
2019/10/15,24.174774,30.067362,34.218121
2019/10/16,24.461433,30.034027,33.252411
2019/10/17,24.279015,29.050669,29.867437
2019/10/18,24.113968,28.992334,29.867437
2019/10/21,24.070536,29.150675,26.183784
2019/10/22,24.174774,29.492348,26.183784
2019/10/23,24.226892,29.500683,28.403933
2019/10/24,24.218206,29.792353,26.462549
2019/10/25,24.348507,29.809021,26.253477
2019/10/28,24.348507,30.142361,26.442635
2019/10/29,24.261642,30.517368,26.422728
2019/10/30,24.009729,30.16736,25.785553
2019/10/31,23.227936,29.959021,26.054361
2019/11/1,22.750172,29.750687,26.582018
2019/11/4,22.541697,30.400703,26.582018
2019/11/5,22.619875,30.792377,26.62184
2019/11/6,22.585129,31.250721,25.974714
2019/11/7,22.680681,31.125715,26.840868
2019/11/8,22.802292,31.084051,27.378485
2019/11/11,22.91877,30.984049,26.920517
2019/11/12,22.703739,30.917377,27.776714
2019/11/13,22.578304,30.659042,28.085344
2019/11/14,22.685818,30.675707,28.50349
2019/11/15,22.766455,31.067381,29.041105
2019/11/18,22.667898,31.134052,28.74243
2019/11/19,22.775414,31.225721,26.532238
2019/11/20,22.309513,31.034048,26.07427
2019/11/21,22.228876,30.609037,26.263432
2019/11/22,22.273676,30.992382,27.069853
2019/11/25,22.246796,31.542395,27.298838
2019/11/26,22.345352,31.584061,26.48246
2019/11/27,22.452868,31.95907,27.020071
2019/11/28,22.282637,32.084072,27.288879
2019/11/29,22.255756,31.85907,27.159456
2019/12/2,22.390152,31.925741,27.468084
2019/12/3,22.148239,31.475723,25.895069
2019/12/4,21.673378,30.692379,24.83975
2019/12/5,22.130322,31.175718,24.979132
2019/12/6,22.031765,31.134052,25.606348
2019/12/9,22.022804,31.709064,25.536655
2019/12/10,21.879452,32.050735,25.247938
2019/12/11,21.978008,32.167408,24.829796
2019/12/12,21.700256,32.167408,24.441517
2019/12/13,22.13928,32.792423,23.893948
2019/12/16,22.443907,33.325771,23.874037
2019/12/17,22.470787,33.500771,23.2966
2019/12/18,22.425989,33.375767,24.172712
2019/12/19,22.300556,33.1591,24.640636
2019/12/20,22.219917,33.100765,24.710323
2019/12/23,22.157198,32.684082,24.421606
2019/12/24,22.157198,32.692421,24.551031
2019/12/27,22.201998,33.0341,24.541075
2019/12/30,22.219917,32.850754,24.610767
2019/12/31,22.067602,32.434082,23.266735
2020/1/2,21.995926,32.459084,23.306555
2020/1/3,22.157198,32.625751,23.704788
2020/1/6,22.067602,32.834095,23.625139
2020/1/7,22.354313,32.959091,23.824257
2020/1/8,22.273676,32.975754,23.047705
2020/1/9,22.300556,33.3591,23.963638
2020/1/10,22.506626,33.250767,24.431562
2020/1/13,22.40807,32.942425,24.541075
2020/1/14,22.578304,33.375767,24.46143
2020/1/15,22.623102,33.484104,24.222488
2020/1/16,22.775414,33.44244,25.208117
2020/1/17,22.775414,33.83411,25.317631
2020/1/20,22.838131,34.367458,24.760105
2020/1/21,22.856054,34.334126,23.774479
2020/1/22,23.044205,34.342457,24.889528
2020/1/23,23.071083,34.234123,24.879574
2020/1/24,23.205477,33.709114,24.63068
2020/1/28,22.811255,32.584084,23.86408
2020/1/29,23.106922,32.784088,24.690413
2020/1/30,23.142761,32.500748,24.192623
2020/1/31,23.071083,32.834095,24.919399
2020/2/3,22.658941,31.875734,24.780014
2020/2/4,22.999407,31.925741,24.491297
2020/2/5,23.133802,32.409084,26.691532
2020/2/6,23.393631,32.95076,27.059896
2020/2/7,23.321955,32.309074,27.826494
2020/2/10,23.250278,32.000736,27.527821
2020/2/11,23.411549,32.134071,28.22473
2020/2/12,23.599705,32.000736,28.184904
2020/2/13,23.68034,32.117409,28.941547
2020/2/14,23.841614,32.209076,28.921631
2020/2/17,23.814734,32.059074,29.120749
2020/2/18,23.877451,32.31741,29.30991
2020/2/19,23.976007,32.084072,21.305437
2020/2/20,24.21792,32.100739,18.796572
2020/2/21,24.406071,31.850737,19.194805
2020/2/24,24.038723,30.909046,18.746794
2020/2/25,23.823694,30.275702,19.075336
2020/2/26,23.357792,29.625681,17.492363
2020/2/27,22.873972,29.325676,16.855188
2020/2/28,22.246796,28.000647,15.033276
2020/3/2,21.807772,27.792309,16.944794
2020/3/3,21.503145,28.325655,16.49678
2020/3/4,20.795332,28.050646,15.630625
2020/3/5,20.822212,28.698143,15.411595
2020/3/6,19.836651,27.64193,14.980036
2020/3/9,18.161198,23.657507,13.435188
2020/3/10,18.931725,25.117317,14.202629
2020/3/11,17.883448,24.490459,13.385356
2020/3/12,16.36031,22.60988,12.896984
2020/3/13,16.844131,22.944777,13.564756
2020/3/16,14.738613,21.639536,13.544824
2020/3/17,16.485746,24.224258,12.627883
2020/3/18,14.890928,23.305437,11.840508
2020/3/19,13.439466,23.47718,10.445161
2020/3/20,14.353351,23.193806,11.760775
2020/3/23,12.6331,23.210979,11.960109
2020/3/24,13.305072,24.387413,13.624557
2020/3/25,14.846129,26.877678,12.468414
2020/3/26,14.962606,26.336687,13.754126
2020/3/27,13.860569,24.928402,14.451797
2020/3/30,15.034283,25.933096,15.797312
2020/3/31,15.195557,24.885466,17.043154
2020/4/1,15.276193,25.958857,15.847144
2020/4/2,14.469826,25.632547,14.930202
2020/4/3,14.147278,26.044727,14.481699
2020/4/6,14.819253,27.298447,14.800635
2020/4/7,14.622139,27.221163,14.5714
2020/4/8,13.905368,26.894852,15.099638
2020/4/9,14.819253,27.049421,15.906946
2020/4/14,15.034283,27.186813,15.777377
2020/4/15,15.097001,26.989309,15.588009
2020/4/16,14.855088,26.439735,15.289006
2020/4/17,14.837171,26.860502,15.667743
2020/4/20,14.469826,26.465496,15.697643
2020/4/21,14.156238,25.804287,13.734191
2020/4/22,14.353351,24.876879,16.036514
2020/4/23,14.344389,25.546675,16.016579
2020/4/24,14.353351,26.225056,16.186014
2020/4/27,14.021842,26.190706,17.132856
2020/4/28,14.066641,26.182121,17.192657
2020/4/29,14.926766,26.72311,17.521561
2020/4/30,15.141797,27.779324,18.528202
2020/5/1,14.111439,25.623957,17.760761
2020/5/4,14.469826,25.658306,18.597971
2020/5/5,14.738613,26.353863,19.096308
2020/5/6,14.514625,26.113424,19.724215
2020/5/7,14.201035,26.620064,19.993317
2020/5/8,14.09352,26.963547,19.843813
2020/5/11,14.165197,27.092354,19.784012
2020/5/12,13.887448,26.379623,19.325542
2020/5/13,13.941206,26.628653,19.664412
2020/5/14,13.57386,26.285168,18.837173
2020/5/15,13.83369,27.195402,19.076372
2020/5/18,13.555942,28.423353,20.16275
2020/5/19,13.83369,30.097845,20.521555
2020/5/20,13.896408,29.81447,20.581352
2020/5/21,13.788893,29.63414,20.820557
2020/5/22,13.645537,29.470985,20.451788
2020/5/25,13.968085,29.848818,21.7973
2020/5/26,14.801332,30.484266,22.116236
2020/5/27,16.073601,29.591206,22.275703
2020/5/28,16.790373,30.192303,20.98999
2020/5/29,16.028803,29.745773,20.322216
2020/6/1,16.172157,30.664597,20.102949
2020/6/2,16.145279,30.406982,21.039825
2020/6/3,16.951645,31.205584,21.886999
2020/6/4,17.211475,31.179821,22.435171
2020/6/5,17.713217,31.197001,22.076368
2020/6/9,18.815252,32.321907,22.425205
2020/6/10,18.600222,32.201691,22.335505
2020/6/11,17.444426,31.566242,21.8272
2020/6/12,16.951645,30.905035,21.149456
2020/6/15,16.494705,30.269588,19.823879
2020/6/16,17.229397,31.154058,21.019892
2020/6/17,17.166679,30.930799,22.255768
2020/6/18,17.094999,30.647423,21.637829
2020/6/19,16.799334,30.063496,23.322212
2020/6/22,16.996445,30.364046,22.006599
2020/6/23,17.005404,30.604488,21.926868
2020/6/24,16.87101,30.827753,22.036501
2020/6/25,16.351349,30.097845,21.57803
2020/6/26,16.844131,30.956558,21.568064
2020/6/29,16.629099,30.38122,19.724215
2020/6/30,16.700775,30.759054,19.285677
2020/7/1,16.915808,30.759054,18.488337
2020/7/2,17.256273,30.922211,19.634514
2020/7/3,17.193558,31.136883,20.471722
2020/7/6,17.130838,30.613075,21.388662
2020/7/7,16.85309,30.999493,22.076368
2020/7/8,16.494705,30.698944,21.498297
2020/7/9,16.566383,31.30863,20.99996
2020/7/10,16.396149,31.076775,20.272385
2020/7/13,16.700775,31.746571,20.102949
2020/7/14,16.503666,31.841032,20.033182
2020/7/15,16.718695,32.63105,20.950125
2020/7/16,16.566383,32.424953,20.920223
2020/7/17,16.548462,32.562351,20.581352
2020/7/20,16.351349,32.957355,21.099627
2020/7/21,16.772455,33.318012,22.046469
2020/7/22,16.673897,32.201691,21.189327
2020/7/23,16.664936,31.987013,21.139492
2020/7/24,16.38719,31.841032,20.671055
2020/7/27,16.333431,32.115818,20.750788
2020/7/28,16.190077,32.673981,20.521555
2020/7/29,16.530546,32.029949,19.784012
2020/7/30,16.449907,32.485069,20.950125
2020/7/31,16.09152,31.557659,20.581352
2020/8/3,15.428505,32.064293,21.249126
2020/8/4,15.688337,32.562351,22.305603
2020/8/5,15.643538,32.588108,21.498297
2020/8/6,15.804811,34.193901,21.358763
2020/8/7,15.840651,33.747368,20.860422
2020/8/10,16.279675,34.211075,21.119558
2020/8/11,16.566383,34.52021,20.621222
2020/8/12,16.888929,34.271183,18.887009
2020/8/13,16.611181,34.271183,19.554777
2020/8/14,16.736616,34.357056,19.863747
2020/8/17,16.36031,34.228249,19.415245
2020/8/18,16.190077,34.04792,20.740824
2020/8/19,16.736616,33.541279,27.777355
2020/8/20,16.539501,33.249317,27.368715
2020/8/21,16.467825,32.940182,27.807253
2020/8/24,16.540489,33.120514,28.136156
2020/8/25,17.076399,32.897251,28.83383
2020/8/26,16.840237,32.64822,28.385324
2020/8/27,16.64949,33.008877,28.335491
2020/8/28,16.713072,32.399193,28.046455
2020/8/31,16.604074,32.553761,28.086323
2020/9/1,16.140829,32.201691,28.25576
2020/9/2,16.395159,33.060402,29.2624
2020/9/3,16.685823,32.941772,29.591305
2020/9/4,16.177162,31.698023,27.453278
2020/9/7,16.467825,32.460041,28.011719
2020/9/8,16.676739,32.766598,28.540241
2020/9/9,16.177162,32.214794,28.001745
2020/9/10,16.08633,32.389973,28.101467
2020/9/11,15.922835,32.01334,27.682636
2020/9/14,16.059084,32.617699,27.523083
2020/9/15,15.759336,32.83667,27.433334
2020/9/16,15.71392,33.283367,27.802301
2020/9/17,15.732088,32.679008,26.685423
2020/9/18,15.505007,33.108189,26.675451
2020/9/21,15.305178,32.714043,26.216734
2020/9/22,14.950932,32.118446,26.705368
2020/9/23,15.305178,32.538872,26.695396
